lei,lender_name,w_apps,b_apps,w_denial_rate,b_denial_rate,disparity_ratio,denial_gap_pp
03D0JEWFDFUS0SEEKG89,Lender_EEKG89,120,61,0.06666666666666665,0.2622950819672131,3.934426229508197,19.56284153005464
213800QUAI2VH5YM6310,Lender_YM6310,299,281,0.026755852842809347,0.09964412811387902,3.7241992882562305,7.288827527106967
2549006II76YXSS5XM65,"George Mason Mortgage, LLC",297,242,0.013468013468013518,0.09090909090909094,6.749999999999977,7.744107744107742
5493001R92DY5DI1DI85,Lender_I1DI85,189,131,0.015873015873015928,0.03816793893129766,2.4045801526717443,2.2294923058281735
5493001SXWZ4OFP8Z903,Lender_P8Z903,101,156,0.03960396039603964,0.05769230769230771,1.4567307692307683,1.808834729626807
54930039UO39UJGI7078,Lender_GI7078,159,121,0.02515723270440251,0.06611570247933884,2.6280991735537196,4.0958469774936335
5493003GQDUH26DNNH17,Lender_DNNH17,662,493,0.13746223564954685,0.34888438133874244,2.53803802688184,21.14221456891956
5493004WMLN60ZJ2ON46,Lender_J2ON46,118,61,0.025423728813559365,0.09836065573770492,3.8688524590163866,7.293692692414555
5493005PKOSG7MYX0B34,"Prosperity Home Mortgage, LLC",581,127,0.02065404475043031,0.08661417322834641,4.1935695538057685,6.59601284779161
5493008NWHQT1R22C024,Lender_22C024,83,86,0.08433734939759041,0.16279069767441856,1.9302325581395332,7.845334827682815
54930095UWUUXAWASB02,Lender_WASB02,1032,163,0.02131782945736438,0.024539877300613466,1.1511433351924114,0.32220478432490873
549300BM4NS8HDJT3X28,"INTERCOASTAL MORTGAGE, LLC",595,72,0.008403361344537785,0.05555555555555558,6.611111111111137,4.7152194211017795
549300CF8MP6S7MZV277,Lender_MZV277,681,63,0.013215859030836996,0.015873015873015928,1.201058201058206,0.26571568421789316
549300DD4R4SYK5RAQ92,Lender_5RAQ92,744,279,0.024193548387096753,0.06093189964157708,2.5185185185185217,3.673835125448033
549300DD5QQUHO6PCH70,Lender_6PCH70,335,228,0.06567164179104479,0.17105263157894735,2.604665071770334,10.538098978790256
549300EM8ID8J7F8OM55,Lender_F8OM55,392,263,0.012755102040816313,0.03802281368821292,2.980988593155896,2.5267711647396607
549300FGXN1K3HLB1R50,Lender_LB1R50,562,438,0.06405693950177938,0.15981735159817356,2.4949264332825978,9.576041209639419
549300FNXYY540N23N64,Lender_N23N64,116,107,0.07758620689655171,0.13084112149532712,1.6863966770508831,5.32549145987754
549300FX7K8PTEQUU487,Lender_QUU487,205,86,0.24878048780487805,0.34883720930232553,1.4021887824897399,10.005672149744749
549300GKFNPRWNS0GF29,Lender_S0GF29,605,185,0.018181818181818188,0.032432432432432434,1.7837837837837833,1.4250614250614246
549300GPO6DWUZR4UY30,Lender_R4UY30,580,432,0.020689655172413834,0.06018518518518523,2.908950617283947,3.9495530012771396
549300H3IZO24NSOO931,Lender_SOO931,129,362,0.054263565891472854,0.14088397790055252,2.5962904498816113,8.662041200907966
549300HW662MN1WU8550,Lender_WU8550,664,611,0.06927710843373491,0.17839607201309327,2.575108517754217,10.911896357935834
549300IPUHFA5O769M51,Lender_769M51,196,89,0.04081632653061229,0.1123595505617978,2.752808988764043,7.1543224031185515
549300J7XKT2BI5WX213,Lender_5WX213,162,103,0.024691358024691357,0.08737864077669899,3.5388349514563093,6.268728275200763
549300KBWX4NV5Q1E376,Lender_Q1E376,350,978,0.13428571428571423,0.24846625766871167,1.850280642213811,11.418054338299743
